phrase|type|translation|exportedAt|status|knownAt|s1|s2|s3|note
basis for|noun|основа для|2026-04-09|learning|||Trust is the **basis for** friendship.|What is the **basis for** your claim?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
concern about|noun|беспокойство о|2026-04-09|learning|||There is growing **concern about** pollution.|She expressed **concern about** safety.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
contrast between|noun|контраст между|2026-04-09|learning|||There is a big **contrast between** the two cities.|The **contrast between** rich and poor is clear.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
cure for|noun|лекарство от|2026-04-09|learning|||There is no **cure for** the common cold.|Scientists are looking for a **cure for** cancer.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
emphasis on|noun|акцент на|2026-04-09|learning|||The school puts **emphasis on** reading.|There is an **emphasis on** teamwork.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
exception to|noun|исключение из|2026-04-09|learning|||This is an **exception to** the rule.|There are no **exceptions to** the law.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
fondness for|noun|привязанность к|2026-04-09|learning|||She has a **fondness for** cats.|He has a **fondness for** old films.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
gratitude for|noun|благодарность за|2026-04-09|learning|||She expressed **gratitude for** his help.|I feel **gratitude for** their support.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
improvement in|noun|улучшение в|2026-04-09|learning|||There was an **improvement in** his marks.|I see an **improvement in** your English.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
limit to|noun|предел чему-то|2026-04-09|learning|||There is a **limit to** my patience.|Is there a **limit to** the budget?|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
love for|noun|любовь к|2026-04-09|learning|||Her **love for** music is strong.|He has a deep **love for** his country.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
opportunity for|noun|возможность для|2026-04-09|learning|||This is a great **opportunity for** growth.|There is an **opportunity for** promotion.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
opposition to|noun|оппозиция к|2026-04-09|learning|||There is strong **opposition to** the plan.|She expressed **opposition to** the idea.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
passion for|noun|страсть к|2026-04-09|learning|||She has a **passion for** dance.|His **passion for** cooking is clear.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
permission for|noun|разрешение на|2026-04-09|learning|||She asked **permission for** the trip.|He got **permission for** the project.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
pride in|noun|гордость за|2026-04-09|learning|||She takes **pride in** her work.|He has **pride in** his country.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
progress in|noun|прогресс в|2026-04-09|learning|||She made great **progress in** English.|There was good **progress in** the talks.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
provision for|noun|обеспечение чего-то|2026-04-09|learning|||There is no **provision for** parking.|The law makes **provision for** this case.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
reliance on|noun|зависимость от|2026-04-09|learning|||Our **reliance on** oil must decrease.|She has too much **reliance on** others.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
request for|noun|запрос на|2026-04-09|learning|||She made a **request for** more time.|His **request for** help was ignored.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
respect for|noun|уважение к|2026-04-09|learning|||She has great **respect for** her teacher.|Show **respect for** older people.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
supply of|noun|запас чего-то|2026-04-09|learning|||The **supply of** water is limited.|There is a good **supply of** food.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
support for|noun|поддержка чего-то|2026-04-09|learning|||There is strong **support for** the idea.|She got **support for** her project.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
taste for|noun|вкус к|2026-04-09|learning|||She has good **taste for** fashion.|He developed a **taste for** jazz.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
tendency to|noun|склонность к|2026-04-09|learning|||She has a **tendency to** worry.|He has a **tendency to** be late.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
trouble with|noun|проблема с|2026-04-09|learning|||I'm having **trouble with** my car.|She has **trouble with** her back.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
inspired by|adjective|вдохновлён||||She was **inspired by** her teacher.|He was **inspired by** the speech.|The book is **inspired by** real events.|
present at|adjective|присутствующий на||||He was **present at** the meeting.|She wasn't **present at** the event.|All members were **present at** the discussion.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
nice of|adjective|мило с (чьей-то стороны)||||That's **nice of** you to ask.|It was **nice of** her to help.|How **nice of** him to come!|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
acquainted with|adjective|знаком с||||I'm **acquainted with** her family.|He became **acquainted with** the rules.|Are you **acquainted with** this software?|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
explain to|verb|объяснять кому-то||||She **explained** the problem **to** me.|Can you **explain** this **to** her?|He **explained to** us how it works.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
divide into|verb|разделять на||||The book is **divided into** three parts.|She **divided** the cake **into** eight pieces.|The class was **divided into** groups.|Преобразование, проникновение: divide into, translate into, run into, look into, transform into. "В (превращение) / внутрь → INTO".
disagree on|verb|не соглашаться по поводу||||We **disagree on** the price.|They **disagreed on** every point.|Experts **disagree on** this issue.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
disadvantages of|noun|недостатки чего-то||||What are the **disadvantages of** this method?|She listed the **disadvantages of** the plan.|There are some **disadvantages of** living here.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
compensate for|verb|компенсировать||||Nothing can **compensate for** the loss.|She tried to **compensate for** her mistake.|They will **compensate for** the damage.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
apologize to|verb|извиняться перед||||He **apologized to** her for being late.|She **apologized to** the customer.|You should **apologize to** your brother.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
interfere in|verb|вмешиваться в||||Don't **interfere in** my business.|She doesn't like to **interfere in** family matters.|He **interfered in** the conversation.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
cure of|verb|излечить от||||The doctor **cured** him **of** the disease.|She was **cured of** her allergies.|This medicine will **cure** you **of** the cold.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
optimistic about|adjective|оптимистичный насчёт||||I'm **optimistic about** the future.|She is **optimistic about** the results.|He's not very **optimistic about** the plan.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
absorbed in|adjective|поглощённый||||He was **absorbed in** the book.|She was completely **absorbed in** her work.|They were **absorbed in** the film.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
engrossed in|adjective|поглощённый||||She was **engrossed in** the novel.|He's **engrossed in** his project.|They were **engrossed in** conversation.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
register for|verb|регистрироваться на||||I need to **register for** the course.|She **registered for** the exam yesterday.|How do I **register for** this event?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
occupied with|adjective|занят чем-то||||She is **occupied with** her studies.|He's **occupied with** an important task.|My mind was **occupied with** other things.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
resistance to|noun|сопротивление||||There's strong **resistance to** the new law.|She showed **resistance to** change.|The plant has **resistance to** disease.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
way of|noun|способ чего-то||||This is a good **way of** learning.|She has her own **way of** doing things.|Find a better **way of** doing it.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
doubts about|noun|сомнения насчёт||||I have **doubts about** this plan.|She expressed **doubts about** his honesty.|There are no **doubts about** the result.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
get used to|verb|привыкнуть к||||I can't **get used to** the cold.|She **got used to** waking up early.|It takes time to **get used to** a new job.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
familiar to|adjective|знаком кому-то||||His face is **familiar to** me.|This story is **familiar to** everyone.|The route was **familiar to** her.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
